Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
13,NCAR (National Center for Atmospheric Research),IBM,pSeries 690 Turbo 1.3 GHz,United States,2003,1600,4184.0,8320.0,550000,93000,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Colony,North America,Americas,11/2003
14,Chinese Academy of Science,lenovo,"DeepComp 6800, Itanium2 1.3 GHz, QsNet",China,2003,1024,4183.0,5324.8,491488,0,Intel IA-64,Intel IA-64 Itanium 2,1300.0,Legend,Linux,Cluster,Academic,Not Specified,Quadrics,Quadrics,Eastern Asia,Asia,11/2003
15,Commissariat a l'Energie Atomique (CEA),Hewlett-Packard,"AlphaServer SC45, 1 GHz",France,2001,2560,3980.0,5120.0,360000,85000,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,Western Europe,Europe,11/2003
16,HPCx,IBM,pSeries 690 Turbo 1.3GHz,United Kingdom,2002,1280,3406.0,6656.0,317000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Northern Europe,Europe,11/2003
17,Forecast Systems Laboratory - NOAA,HPTi,"Aspen Systems, Dual Xeon 2.2 GHz - Myrinet2000",United States,2002,1536,3337.0,6758.0,285000,75000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2200.0,NOW - Intel Pentium,Linux,Cluster,Research,Weather and Climate Research,Myrinet,Myrinet,North America,Americas,11/2003
18,Naval Oceanographic Office (NAVOCEANO),IBM,pSeries 690 Turbo 1.3GHz,United States,2002,1184,3160.0,6156.8,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Colony,North America,Americas,11/2003
19,Cray Inc.,Cray Inc.,Cray X1,United States,2003,252,2932.9,3225.6,338688,44288,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Vendor,Not Specified,Crossbar,Crossbar,North America,Americas,11/2003
20,Government,Cray Inc.,Cray X1,United States,2003,252,2932.9,3225.6,338688,44288,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Classified,Not Specified,Crossbar,Crossbar,North America,Americas,11/2003
21,Oak Ridge National Laboratory,Cray Inc.,Cray X1,United States,2003,252,2932.9,3225.6,338688,44288,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas,11/2003
22,Korea Institute of Science and Technology,IBM,"xSeries Xeon 2.4 GHz, Myrinet","Korea, South",2004,1024,2847.0,4915.2,230000,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia,11/2003
23,ECMWF,IBM,pSeries 690 Turbo 1.3GHz,United Kingdom,2002,960,2560.0,4992.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Colony,Northern Europe,Europe,11/2003
24,ECMWF,IBM,pSeries 690 Turbo 1.3GHz,United Kingdom,2002,960,2560.0,4992.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Colony,Northern Europe,Europe,11/2003
25,Energy Company (D),Hewlett-Packard,"Cluster Platform 6000 rx5670-4x256, Itanium2 1.3 GHz, GigE",United States,2003,1024,2556.0,5324.8,0,0,Intel IA-64,Intel IA-64 Itanium 2,1300.0,HP Cluster Platform 6000,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
26,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1750, Pentium4 Xeon 3.06 GHz, Myrinet",United States,2003,600,2455.0,3672.0,252000,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
27,Sandia National Laboratories,Intel,ASCI Red,United States,1999,9632,2379.0,3207.0,362880,75400,Intel IA-32,Intel IA-32 Pentium Pro,333.3,intel Paragon,Paragon OS,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas,11/2003
28,IBM,IBM,pSeries 690 Turbo 1.3GHz,Canada,2003,864,2310.0,4492.8,275000,62000,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Vendor,Not Specified,SP Switch,Colony,North America,Americas,11/2003
29,Oak Ridge National Laboratory,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,864,2310.0,4492.8,275000,62000,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Colony,North America,Americas,11/2003
30,Louisiana State University,Atipa Technology,P4 Xeon 1.8 GHz - Myrinet,United States,2002,1024,2207.0,3686.4,280000,56000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,1800.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
31,Max-Planck-Gesellschaft MPI/IPP,IBM,pSeries 690 Turbo 1.3 GHz,Germany,2003,822,2198.44,4274.4,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Colony,Western Europe,Europe,11/2003
32,NASA/Goddard Space Flight Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2002,1392,2164.0,2784.0,320000,40000,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas,11/2003
33,Lawrence Livermore National Laboratory,IBM,"ASCI Blue-Pacific SST, IBM SP 604e",United States,1999,5808,2144.0,3856.5,431344,0,Power,PowerPC 604e,332.2,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas,11/2003
34,US Army Research Laboratory (ARL),IBM,pSeries 690 Turbo 1.3GHz,United States,2002,800,2140.0,4160.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Colony,North America,Americas,11/2003
35,NCSA,IBM,"TeraGrid, Itanium2 1.3 GHz, Myrinet",United States,2003,512,2110.0,2662.4,308350,0,Intel IA-64,Intel IA-64 Itanium 2,1300.0,NOW - Intel Itanium,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
36,Atomic Weapons Establishment,IBM,SP Power3 375 MHz 16 way,United Kingdom,2002,1920,2106.0,2880.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Classified,Not Specified,SP Switch,SP Switch,Northern Europe,Europe,11/2003
37,Deutscher Wetterdienst,IBM,SP Power3 375 MHz 16 way,Germany,2003,1920,2106.0,2880.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Weather and Climate Research,SP Switch,SP Switch,Western Europe,Europe,11/2003
38,"University at Buffalo, SUNY, Center for Computational Res.",Dell,PowerEdge 2650 Cluster P4 Xeon 2.4 GHz - Myrinet,United States,2002,600,2004.0,2880.0,253400,42200,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
39,National Centers for Environmental Prediction,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,704,1849.0,3660.8,240000,32500,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather Forecasting,SP Switch,Colony,North America,Americas,11/2003
40,National Centers for Environmental Prediction,IBM,pSeries 690 Turbo 1.3GHz,United States,2002,704,1849.0,3660.8,240000,32500,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Colony,North America,Americas,11/2003
41,SARA (Stichting Academisch Rekencentrum),SGI,SGI Altix 1.3 GHz,Netherlands,2003,416,1793.0,2163.0,298799,0,Intel IA-64,Intel IA-64 Itanium 2,1300.0,SGI Altix,Linux,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe,11/2003
42,KISTI Supercomputing Center,IBM,pSeries 690 Turbo 1.7 GHz,"Korea, South",2003,544,1760.0,3699.2,400000,0,Power,POWER4,1700.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Colony,Eastern Asia,Asia,11/2003
43,Semiconductor Company (C),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,1834,1755.0,8803.2,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
44,WETA Digital,IBM,"BladeCenter Cluster Xeon 2.8 GHz, Gig-Ethernet",New Zealand,2003,1176,1755.0,6585.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Image Proc./Rendering,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania,11/2003
45,Semiconductor Company (C),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1140,1755.0,6384.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
46,Semiconductor Company (C),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1140,1755.0,6384.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
47,PGS,IBM,xSeries Cluster Xeon 3.06 GHz - Gig-E,United States,2003,1024,1755.0,6266.88,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
48,WETA Digital,IBM,"BladeCenter Cluster Xeon 2.8 GHz, Gig-Ethernet",New Zealand,2003,1080,1755.0,6048.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Image Proc./Rendering,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania,11/2003
49,Semiconductor Company (C),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1030,1755.0,5768.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
50,Semiconductor Company (C),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1028,1755.0,5756.8,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
51,Semiconductor Company (C),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1028,1755.0,5756.8,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
52,Compagnie Generale de Geophysique (CGG),IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United Kingdom,2003,1100,1755.0,5280.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2003
53,Arizona State University/TGEN,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,1048,1755.0,5030.4,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
54,Paradigm Geophysical,IBM,"BladeCenter Cluster Xeon 2.4 GHz, Gig-Ethernet",United States,2003,1024,1755.0,4915.2,335000,41600,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Research,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
55,TotalFinaElf,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,France,2003,1024,1755.0,4915.2,335000,41600,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2003
56,Sandia National Laboratories,Hewlett-Packard,"Cluster Platform DL360G3, Pentium4 Xeon 2.8 GHz, Myrinet",United States,2003,512,1750.0,2867.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,HP Cluster Platform 3000,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
57,Sandia National Laboratories,Hewlett-Packard,"Cluster Platform DL360G3, Pentium4 Xeon 2.8 GHz, Myrinet",United States,2003,512,1750.0,2867.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,HP Cluster Platform 3000,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
58,Westgrid,IBM,"BladeCenter Xeon 3.06 GHz, Gig-Ethernet",Canada,2003,1008,1731.92,6168.96,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
59,Geotrace,IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",United States,2003,1000,1720.39,5600.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
60,University of Tokyo,Hitachi,SR8000/MPP,Japan,2001,1152,1709.1,2074.0,141000,16000,Hitachi SR8000,Hitachi SR8000,450.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,11/2003
61,SG SGBI,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,France,2003,968,1674.23,4646.4,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,11/2003
62,CINECA,IBM,"xSeries Xeon 3.06 GHz, Myrinet",Italy,2003,512,1669.0,3133.44,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe,11/2003
63,University of Southern California,IBM,"Sun Fire V60 2.8 GHz, IBM Netfinity 2 GHz, Myrinet",United States,2003,870,1661.0,4056.0,210000,65000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2331.03,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
64,Leibniz Rechenzentrum,Hitachi,SR8000-F1/168,Germany,2002,168,1653.0,2016.0,160000,19560,Hitachi SR8000,Hitachi SR8000,375.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Western Europe,Europe,11/2003
65,Los Alamos National Laboratory,SGI,ASCI Blue Mountain,United States,1998,6144,1608.0,3072.0,374400,138000,MIPS,MIPS R10000,250.0,SGI Origin,IRIX,MPP,Research,Not Specified,HIPPI,HIPPI,North America,Americas,11/2003
66,GX Technology,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,880,1547.31,4224.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
67,Sandia National Laboratories,Dell,Vplant Cluster P4 XEON 2.4/2.0 GHz - Myrinet,United States,2002,660,1504.0,2963.0,160000,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2244.0,NOW - Intel Pentium,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas,11/2003
68,Cornell Theory Center,Dell,PowerEdge 2650 Cluster P4 Xeon 2.4 GHz/MSWindows - GigE,United States,2003,640,1503.0,3073.0,230400,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Dell PowerEdge Cluster,Windows 2000,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
69,DKRZ - Deutsches Klimarechenzentrum,NEC,SX-6/192M24,Germany,2003,192,1484.0,1536.0,200064,15744,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Weather and Climate Research,Crossbar,Multi-stage crossbar,Western Europe,Europe,11/2003
70,University of Toronto,Self-made,PowerRACK-HX dual Xeon 2.4 GHz - SMC GigE,Canada,2003,528,1455.0,2534.4,170000,80000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
71,US Army HPC Research Center at NCS,Cray Inc.,Cray X1,United States,2003,124,1448.42,1587.2,0,0,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas,11/2003
72,University of Alaska - ARSC,Cray Inc.,Cray X1,United States,2003,124,1448.42,1587.2,0,0,Cray,Cray X1,800.0,Cray X1,UNICOS,MPP,Academic,Not Specified,Crossbar,Crossbar,North America,Americas,11/2003
73,IBM Thomas J. Watson Research Center,IBM,BlueGene/L DD1 Prototype (0.5GHz PowerPC 440 w/Custom),United States,2003,1024,1435.0,2048.0,110592,0,Power,PowerPC 440,500.0,IBM BlueGene/L,Linux,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas,11/2003
74,Semiconductor Company (E),IBM,xSeries Cluster Xeon 3.06 GHz - Gig-E,United States,2003,800,1431.92,4986.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,IBM Cluster,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
75,Verisign,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,United States,2003,800,1431.92,3840.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Industry,Database,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
76,IBM,IBM,pSeries 690 Turbo 1.7 GHz GigEth,United States,2003,384,1424.0,2611.2,325000,0,Power,POWER4,1700.0,IBM pSeries,AIX,MPP,Vendor,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
77,Energy Company (D),Hewlett-Packard,"Cluster Platform 6000 rx4640-4x136 Itanium2 1.3 GHz, GigE",United States,2003,544,1418.0,2828.8,0,0,Intel IA-64,Intel IA-64 Itanium 2,1300.0,HP Cluster Platform 6000,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2003
78,Naval Oceanographic Office (NAVOCEANO),IBM,SP Power3 375 MHz,United States,2000,1336,1417.0,2004.0,374000,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Weather and Climate Research,SP Switch,SP Switch,North America,Americas,11/2003
79,CINECA,IBM,pSeries 690 Turbo 1.3GHz,Italy,2002,512,1384.0,2662.4,200000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Southern Europe,Europe,11/2003
80,NCAR (National Center for Atmospheric Research),IBM,SP Power3 375 MHz 16 way,United States,2001,1260,1382.0,1890.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Weather and Climate Research,SP Switch,SP Switch,North America,Americas,11/2003
81,National Institute for Fusion Science,NEC,SX-7/160M5,Japan,2003,160,1378.0,1412.8,200000,15200,NEC,NEC,552.486,NEC Vector,Super-UX,MPP,Research,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia,11/2003
82,Academy of Mathematics and System Science,lenovo,DeepComp 1800 - P4 Xeon 2 GHz - Myrinet,China,2002,512,1297.0,2048.0,172000,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2000.0,Legend,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia,11/2003
83,Geoscience (D),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",Mexico,2003,706,1296.35,3953.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Central America,Americas,11/2003
84,Geoscience (D),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",Mexico,2003,706,1296.35,3953.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Central America,Americas,11/2003
85,Geoscience (D),IBM,"xSeries Xeon 2.8 GHz, Gig-Ethernet",Mexico,2003,706,1296.35,3953.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2800.0,IBM Cluster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Central America,Americas,11/2003
86,University of Liverpool,Dell,"PowerEdge 650, 3.06 GHz, Gig Ethernet",United Kingdom,2003,940,1212.0,5752.8,210000,0,Intel IA-32,Intel IA-32 Pentium 4,3060.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,11/2003
87,Lawrence Livermore National Laboratory,IBM,SP Power3 375 MHz 16 way,United States,2001,1088,1193.0,1632.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas,11/2003
88,Osaka University,NEC,SX-5/128M8 3.2ns,Japan,2001,128,1192.0,1280.0,129536,10240,NEC,NEC,312.5,NEC Vector,Super-UX,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia,11/2003
89,National Centers for Environmental Prediction,IBM,SP Power3 375 MHz,United States,2000,1104,1179.0,1656.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Weather and Climate Research,SP Switch,SP Switch,North America,Americas,11/2003
90,Public Sector,IBM,xSeries Cluster Xeon 2.4 GHz - Gig-E,China,2003,622,1175.19,2985.6,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2003
91,CSC (Center for Scientific Computing),IBM,pSeries 690 1.1GHz,Finland,2002,512,1170.0,2253.0,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Northern Europe,Europe,11/2003
92,Florida State University,IBM,pSeries 690 1.1GHz,United States,2002,512,1170.0,2253.0,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,North America,Americas,11/2003
93,Doshisha University,Visual Technology,"Opteron 1.8 GHz, Gig Ethernet",Japan,2003,512,1169.0,1843.2,220000,59000,AMD x86_64,AMD x86_64 Opteron,1800.0,NOW - AMD,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,11/2003
94,Government,Cray Inc.,T3E1200,United States,2001,1900,1166.0,2280.0,230016,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Classified,Not Specified,Cray Interconnect,3-D Torus,North America,Americas,11/2003
